team_A,team_B,toss_winner,top_batsmen_points_A,top_batsmen_points_B,top_baller_points_A,top_baller_points_B,match_won_after_winning_toss_A,match_won_after_winning_toss_B,runs_in_powerplay_A,runs_in_powerplay_B,run_rate_A,run_rate_B,most_value_player_points_A,most_value_player_points_B,win_ratio_A,win_ratio_B,ground_A,ground_B,winner
0,4,0,0.5724999999999999,0.4700000000000001,0.6710526315789475,0.4940191387559809,0.673913043,0.5,0.3733333333333333,0.37142857142857144,0.385,0.418,0.7956204379562044,0.7737226277372263,0.67,0.33,0,0,0
6,7,0,0.8924999999999998,0.3549999999999999,0.6100478468899523,0.7894736842105265,0.454545455,0.576923077,0.27999999999999997,0.46666666666666673,0.968,0.095,0.7226277372262774,0.5630865484880083,0.58,0.42,0,1,1
1,11,1,0.4700000000000001,0.6625,0.4078947368421053,0.8325358851674642,0.446808511,0.551020408,0.4133333333333333,0.36190476190476195,-1.182,0.06,0.6266944734098019,0.545881126173097,0.5,0.5,0,0,1
12,9,1,0.37750000000000006,0.38750000000000007,0.417464114832536,0.4569377990430623,0.14285714300000002,0.5555555560000001,0.4266666666666666,0.34285714285714286,-0.39899999999999997,-0.428,0.6590198123044838,0.6266944734098019,0.5,0.5,0,1,1
11,4,1,0.6625,0.4700000000000001,0.8325358851674642,0.4940191387559809,0.551020408,0.5,0.4666666666666666,0.4761904761904762,0.06,0.418,0.545881126173097,0.7737226277372263,0.5,0.5,1,0,0
1,0,1,0.4700000000000001,0.5724999999999999,0.4078947368421053,0.6710526315789475,0.446808511,0.673913043,0.4133333333333333,0.46666666666666673,-1.182,0.385,0.6266944734098019,0.7956204379562044,0.3,0.7,0,0,1
7,9,1,0.3549999999999999,0.38750000000000007,0.7894736842105265,0.4569377990430623,0.576923077,0.5555555560000001,0.4666666666666666,0.6095238095238096,0.095,-0.428,0.5630865484880083,0.6266944734098019,0.53,0.46,1,0,0
1,4,0,0.4700000000000001,0.4700000000000001,0.4078947368421053,0.4940191387559809,0.446808511,0.5,0.18666666666666668,0.49523809523809526,-1.182,0.418,0.6266944734098019,0.7737226277372263,0.45,0.55,0,0,1
6,0,1,0.8924999999999998,0.5724999999999999,0.6100478468899523,0.6710526315789475,0.454545455,0.673913043,0.30666666666666664,0.43809523809523815,0.968,0.385,0.7226277372262774,0.7956204379562044,0.3,0.7,0,0,0
12,11,1,0.37750000000000006,0.6625,0.417464114832536,0.8325358851674642,0.14285714300000002,0.551020408,0.4666666666666666,0.3523809523809524,-0.39899999999999997,0.06,0.6590198123044838,0.545881126173097,0.33,0.67,0,1,0
6,9,1,0.8924999999999998,0.38750000000000007,0.6100478468899523,0.4569377990430623,0.454545455,0.5555555560000001,0.6533333333333332,0.3238095238095238,0.968,-0.428,0.7226277372262774,0.6266944734098019,0.58,0.42,0,1,0
1,12,1,0.4700000000000001,0.37750000000000006,0.4078947368421053,0.417464114832536,0.446808511,0.14285714300000002,0.49333333333333323,0.4190476190476191,-1.182,-0.39899999999999997,0.6266944734098019,0.6590198123044838,0.0,1.0,0,0,1
7,0,1,0.3549999999999999,0.5724999999999999,0.7894736842105265,0.6710526315789475,0.576923077,0.673913043,0.36,0.36190476190476195,0.095,0.385,0.5630865484880083,0.7956204379562044,0.6,0.4,1,0,1
6,4,1,0.8924999999999998,0.4700000000000001,0.6100478468899523,0.4940191387559809,0.454545455,0.5,0.4533333333333332,0.5238095238095238,0.968,0.418,0.7226277372262774,0.7737226277372263,0.45,0.55,0,1,1
9,11,0,0.38750000000000007,0.6625,0.4569377990430623,0.8325358851674642,0.5555555560000001,0.551020408,0.21333333333333332,0.4285714285714286,-0.428,0.06,0.6266944734098019,0.545881126173097,0.55,0.45,1,0,1
12,7,0,0.37750000000000006,0.3549999999999999,0.417464114832536,0.7894736842105265,0.14285714300000002,0.576923077,0.3733333333333333,0.36190476190476195,-0.39899999999999997,0.095,0.6590198123044838,0.5630865484880083,0.5,0.5,1,0,1
11,0,0,0.6625,0.5724999999999999,0.8325358851674642,0.6710526315789475,0.551020408,0.673913043,0.36,0.4571428571428572,0.06,0.385,0.545881126173097,0.7956204379562044,0.38,0.62,0,0,1
9,1,1,0.38750000000000007,0.4700000000000001,0.4569377990430623,0.4078947368421053,0.5555555560000001,0.446808511,0.2533333333333333,0.43809523809523815,-0.428,-1.182,0.6266944734098019,0.6266944734098019,0.55,0.45,1,0,0
12,6,1,0.37750000000000006,0.8924999999999998,0.417464114832536,0.6100478468899523,0.14285714300000002,0.454545455,0.5333333333333333,0.8190476190476191,-0.39899999999999997,0.968,0.6590198123044838,0.7226277372262774,1.0,0.0,1,0,1
7,4,1,0.3549999999999999,0.4700000000000001,0.7894736842105265,0.4940191387559809,0.576923077,0.5,0.2933333333333333,0.4285714285714286,0.095,0.418,0.5630865484880083,0.7737226277372263,0.83,0.17,0,1,1
11,1,1,0.6625,0.4700000000000001,0.8325358851674642,0.4078947368421053,0.551020408,0.446808511,0.49333333333333323,0.3238095238095238,0.06,-1.182,0.545881126173097,0.6266944734098019,0.5,0.5,1,0,0
0,9,0,0.5724999999999999,0.38750000000000007,0.6710526315789475,0.4569377990430623,0.673913043,0.5555555560000001,0.31999999999999995,0.1619047619047619,0.385,-0.428,0.7956204379562044,0.6266944734098019,0.57,0.43,0,0,1
12,4,0,0.37750000000000006,0.4700000000000001,0.417464114832536,0.4940191387559809,0.14285714300000002,0.5,0.3466666666666667,0.28571428571428575,-0.39899999999999997,0.418,0.6590198123044838,0.7737226277372263,0.5,0.5,1,0,1
7,11,0,0.3549999999999999,0.6625,0.7894736842105265,0.8325358851674642,0.576923077,0.551020408,0.36,0.44761904761904764,0.095,0.06,0.5630865484880083,0.545881126173097,0.58,0.42,0,1,0
1,6,1,0.4700000000000001,0.8924999999999998,0.4078947368421053,0.6100478468899523,0.446808511,0.454545455,0.5333333333333333,0.6285714285714287,-1.182,0.968,0.6266944734098019,0.7226277372262774,0.42,0.58,0,0,1
9,12,0,0.38750000000000007,0.37750000000000006,0.4569377990430623,0.417464114832536,0.5555555560000001,0.14285714300000002,0.13333333333333333,0.48571428571428577,-0.428,-0.39899999999999997,0.6266944734098019,0.6590198123044838,0.5,0.5,0,1,1
