id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B,runs in pp team a,runs in pp team b,Run Rate(Team A),Run Rate(Team B),Most Value Player Points(Team A),Most Value Player Points(Team B),Win ratio (Team A),Win ratio (Team B)
29,2017,Pune,26-04-2017,RPS,KKR,KKR,field,normal,0,KKR,0,7,RV Uthappa,Maharashtra Cricket Association Stadium,AY Dandekar,NJ Llong,,477,623,707,560,0,0.550724638,57,45,0.176,0.642,0,691,0,1
30,2017,Bangalore,27-04-2017,RCB,GL,GL,field,normal,0,GL,0,7,AJ Tye,M Chinnaswamy Stadium,AK Chaudhary,C ShamshuDCin,,477,650,852,518,0.540983607,0.75,35,49,-1.299,-0.412,464,481,0.67,0.33
31,2017,Kolkata,28-04-2017,DC,KKR,KKR,field,normal,0,KKR,0,7,G Gambhir,Eden Gardens,NJ Llong,S Ravi,,623,623,452,560,0.4375,0.550724638,53,47,-0.512,0.642,464,691,0.41,0.59
32,2017,Chandigarh,28-04-2017,SRH,KXIP,KXIP,field,normal,0,SRH,26,0,Rashid Khan,"Punjab Cricket Association IS Bindra Stadium, Mohali",Nitin Menon,CK Nandan,,765,637,682,580,0.466666667,0.40625,60,59,0.599,-0.009,688,618.5,0.75,0.25
33,2017,Pune,29-04-2017,RPS,RCB,RCB,field,normal,0,RPS,61,0,LH Ferguson,Maharashtra Cricket Association Stadium,KN Ananthapadmanabhan,M Erasmus,,477,477,707,852,0,0.540983607,43,39,0.176,-1.299,0,464,0,1
34,2017,Rajkot,29-04-2017,GL,MI,GL,bat,tie,0,MI,0,0,KH Pandya,Saurashtra Cricket Association Stadium,AK Chaudhary,CB Gaffaney,,650,697,518,644,0.75,0.554054054,48,61,-0.412,0.784,481,592.5,1,0
35,2017,Chandigarh,30-04-2017,DC,KXIP,KXIP,field,normal,0,KXIP,0,10,Sandeep Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",YC Barde,CK Nandan,,623,637,452,580,0.4375,0.40625,25,50,-0.512,-0.009,464,618.5,0.44,0.56
36,2017,Hyderabad,30-04-2017,SRH,KKR,KKR,field,normal,0,SRH,48,0,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,S Ravi,,765,623,682,560,0.466666667,0.550724638,79,44,0.599,0.642,688,691,0.33,0.67
37,2017,Mumbai,01-05-2017,RCB,MI,RCB,bat,normal,0,MI,0,5,RG Sharma,Wankhede Stadium,AK Chaudhary,CB Gaffaney,,477,697,852,644,0.540983607,0.554054054,52,55,-1.299,0.784,464,592.5,0.42,0.58
38,2017,Pune,01-05-2017,GL,RPS,RPS,field,normal,0,RPS,0,5,BA Stokes,Maharashtra Cricket Association Stadium,M Erasmus,C ShamshuDCin,,650,477,518,707,0.75,0,55,43,-0.412,0.176,481,0,1,0
