,id,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B,runs in pp team a,runs in pp team b,Run Rate(Team A),Run Rate(Team B),Most Value Player Points(Team A),Most Value Player Points(Team B),Win ratio (Team A),Win ratio (Team B),new_col,team a ground,team b ground
39,101,RR,RCB,RCB,field,normal,0,RR,65,0,GC Smith,Sawai Mansingh Stadium,BF Bowden,SL Shastri,,642,509,571,393,0.0,0.0,27,68,0.632,-1.16,917.0,517.5,0.0,0.0,40,home,away
40,102,MI,DEC,DEC,field,normal,0,MI,25,0,DJ Bravo,"Rajiv Gandhi International Stadium, Uppal",BR Doctrove,DJ Harper,,556,617,970,603,0.0,0.0,68,73,0.57,-0.467,724.0,598.0,0.0,0.0,41,away,away
41,103,KKR,CSK,KKR,bat,normal,1,CSK,3,0,M Ntini,Eden Gardens,Asad Rauf,K Hariharan,,536,807,730,564,0.0,0.0,51,23,-0.147,-0.192,514.5,680.0,0.0,0.0,42,home,away
42,104,RCB,DC,DC,field,normal,0,DC,0,5,SP Goswami,M Chinnaswamy Stadium,SJ Davis,GA Pratapkumar,,509,536,393,590,0.0,0.0,57,32,-1.16,0.342,517.5,517.5,0.0,0.0,43,home,away
43,105,KKR,RR,RR,field,normal,0,RR,0,6,YK Pathan,Eden Gardens,BG Jerling,RE Koertzen,,536,642,730,571,0.0,0.0,35,43,-0.147,0.632,514.5,917.0,0.0,0.0,44,home,away
44,106,KXIP,MI,MI,field,normal,0,KXIP,1,0,SE Marsh,Wankhede Stadium,BF Bowden,GA Pratapkumar,,804,556,538,970,0.0,0.0,41,71,0.509,0.57,727.0,724.0,0.0,0.0,45,away,home
45,107,RCB,CSK,RCB,bat,normal,0,RCB,14,0,A Kumble,"MA Chidambaram Stadium, Chepauk",DJ Harper,I Shivram,,509,807,393,564,0.0,0.0,32,42,-1.16,-0.192,517.5,680.0,0.0,0.0,46,away,home
46,108,DEC,KXIP,KXIP,field,normal,0,KXIP,0,6,SE Marsh,"Punjab Cricket Association Stadium, Mohali",Asad Rauf,SJ Davis,,617,804,603,538,0.0,0.0,43,68,-0.467,0.509,598.0,727.0,0.0,0.0,47,away,away
47,109,MI,DC,DC,field,normal,0,DC,0,5,KD Karthik,Feroz Shah Kotla,BF Bowden,K Hariharan,,556,536,970,590,0.0,0.0,23,44,0.57,0.342,724.0,517.5,0.0,0.0,48,away,away
48,110,RR,CSK,RR,bat,normal,0,RR,10,0,JA Morkel,"MA Chidambaram Stadium, Chepauk",DJ Harper,SL Shastri,,642,807,571,564,0.0,0.0,42,74,0.632,-0.192,917.0,680.0,0.0,0.0,49,away,home
49,80,DEC,RCB,DEC,bat,normal,0,RCB,0,5,R Vinay Kumar,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,RE Koertzen,,617,509,603,393,0.0,0.0,60,56,-0.467,-1.16,598.0,517.5,0.0,0.0,50,away,away
