id,season,team A,team B,Win_ratio_A,Win_ratio_B
227,2015,Chennai Super Kings,Kochi Tuskers Kerala,0.5,0.5
228,2015,Chennai Super Kings,Pune Warriors,0.67,0.33
229,2015,Rajasthan Royals,Deccan Chargers,0.78,0.22
230,2015,Rajasthan Royals,Kochi Tuskers Kerala,0.5,0.5
231,2015,Rajasthan Royals,Pune Warriors,0.8,0.2
232,2015,Deccan Chargers,Kochi Tuskers Kerala,1,0
233,2015,Deccan Chargers,Pune Warriors,0.75,0.25
234,2015,Kochi Tuskers Kerala,Pune Warriors,0,1
235,2014,Royal Challengers Bangalore,Sunrisers Hyderabad,0.5,0.5
236,2014,Royal Challengers Bangalore,Delhi Daredevils,0.55,0.45
237,2014,Royal Challengers Bangalore,Kings XI Punjab,0.42,0.58
238,2014,Royal Challengers Bangalore,Mumbai Indians,0.46,0.53
239,2014,Royal Challengers Bangalore,Rising Pune Supergiants,0,0
240,2014,Royal Challengers Bangalore,Gujarat Lions,0,0
241,2014,Royal Challengers Bangalore,Kolkata Knight Riders,0.5,0.5
242,2014,Royal Challengers Bangalore,Chennai Super Kings,0.43,0.57
243,2014,Royal Challengers Bangalore,Rajasthan Royals,0.55,0.45
244,2014,Royal Challengers Bangalore,Deccan Chargers,0.45,0.55
245,2014,Royal Challengers Bangalore,Kochi Tuskers Kerala,1,0
246,2014,Royal Challengers Bangalore,Pune Warriors,1,0
247,2014,Sunrisers Hyderabad,Delhi Daredevils,1,0
248,2014,Sunrisers Hyderabad,Kings XI Punjab,1,0
249,2014,Sunrisers Hyderabad,Mumbai Indians,0.5,0.5
250,2014,Sunrisers Hyderabad,Rising Pune Supergiants,0,0
251,2014,Sunrisers Hyderabad,Gujarat Lions,0,0
252,2014,Sunrisers Hyderabad,Kolkata Knight Riders,0.5,0.5
253,2014,Sunrisers Hyderabad,Chennai Super Kings,0,1
254,2014,Sunrisers Hyderabad,Rajasthan Royals,0.33,0.67
255,2014,Sunrisers Hyderabad,Deccan Chargers,0,0
256,2014,Sunrisers Hyderabad,Kochi Tuskers Kerala,0,0
257,2014,Sunrisers Hyderabad,Pune Warriors,1,0
258,2014,Delhi Daredevils,Kings XI Punjab,0.42,0.58
259,2014,Delhi Daredevils,Mumbai Indians,0.5,0.5
260,2014,Delhi Daredevils,Rising Pune Supergiants,0,0
261,2014,Delhi Daredevils,Gujarat Lions,0,0
262,2014,Delhi Daredevils,Kolkata Knight Riders,0.45,0.55
263,2014,Delhi Daredevils,Chennai Super Kings,0.3,0.7
264,2014,Delhi Daredevils,Rajasthan Royals,0.5,0.5
265,2014,Delhi Daredevils,Deccan Chargers,0.64,0.36
266,2014,Delhi Daredevils,Kochi Tuskers Kerala,0.5,0.5
267,2014,Delhi Daredevils,Pune Warriors,0.4,0.6
268,2014,Kings XI Punjab,Mumbai Indians,0.58,0.42
269,2014,Kings XI Punjab,Rising Pune Supergiants,0,0
270,2014,Kings XI Punjab,Gujarat Lions,0,0
271,2014,Kings XI Punjab,Kolkata Knight Riders,0.45,0.55
272,2014,Kings XI Punjab,Chennai Super Kings,0.3,0.7
273,2014,Kings XI Punjab,Rajasthan Royals,0.27,0.73
274,2014,Kings XI Punjab,Deccan Chargers,0.7,0.3
275,2014,Kings XI Punjab,Kochi Tuskers Kerala,1,0
276,2014,Kings XI Punjab,Pune Warriors,0.5,0.5
277,2014,Mumbai Indians,Rising Pune Supergiants,0,0
278,2014,Mumbai Indians,Gujarat Lions,0,0
279,2014,Mumbai Indians,Kolkata Knight Riders,0.83,0.17
280,2014,Mumbai Indians,Chennai Super Kings,0.6,0.4
281,2014,Mumbai Indians,Rajasthan Royals,0.58,0.42
282,2014,Mumbai Indians,Deccan Chargers,0.6,0.4
283,2014,Mumbai Indians,Kochi Tuskers Kerala,0,1
284,2014,Mumbai Indians,Pune Warriors,0.83,0.17
285,2014,Rising Pune Supergiants,Gujarat Lions,0,0
286,2014,Rising Pune Supergiants,Kolkata Knight Riders,0,0
287,2014,Rising Pune Supergiants,Chennai Super Kings,0,0
288,2014,Rising Pune Supergiants,Rajasthan Royals,0,0
289,2014,Rising Pune Supergiants,Deccan Chargers,0,0
290,2014,Rising Pune Supergiants,Kochi Tuskers Kerala,0,0
291,2014,Rising Pune Supergiants,Pune Warriors,0,0
292,2014,Gujarat Lions,Kolkata Knight Riders,0,0
293,2014,Gujarat Lions,Chennai Super Kings,0,0
