id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B,runs in pp team a,runs in pp team b,Run Rate(Team A),Run Rate(Team B),Most Value Player Points(Team A),Most Value Player Points(Team B),Win ratio (Team A),Win ratio (Team B)
462,2014,,2014-04-19,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,7,PA Patel,Dubai International Cricket Stadium,Aleem Dar,AK Chaudhary,,564,577,794,516,0.5769230769230769,0.5555555555555556,49,30,0.095,-0.428,540.0,601.0,0.53,0.46
463,2014,,2014-04-19,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Delhi Daredevils,0,4,JP Duminy,Dubai International Cricket Stadium,Aleem Dar,VA Kulkarni,,610,610,547,475,0.5,0.44680851063829785,31,49,0.418,-1.182,742.0,601.0,0.55,0.45
464,2014,Sharjah,2014-04-20,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,7,GJ Maxwell,Sharjah Cricket Stadium,BF Bowden,M Erasmus,,687,779,830,644,0.5510204081632653,0.4545454545454545,54,39,0.06,0.968,523.5,693.0,0.73,0.27
465,2014,Abu Dhabi,2014-04-21,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Chennai Super Kings,93,0,SK Raina,Sheikh Zayed Stadium,RK Illingworth,C Shamshuddin,,651,610,695,475,0.6739130434782609,0.44680851063829785,34,24,0.385,-1.182,763.0,601.0,0.7,0.3
466,2014,Sharjah,2014-04-22,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Kings XI Punjab,72,0,GJ Maxwell,Sharjah Cricket Stadium,M Erasmus,S Ravi,,779,573,644,483,0.4545454545454545,0.14285714285714285,43,45,0.968,-0.39899999999999997,693.0,632.0,0.0,1.0
467,2014,,2014-04-23,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Chennai Super Kings,7,0,RA Jadeja,Dubai International Cricket Stadium,HDPK Dharmasena,RK Illingworth,,651,687,695,830,0.6739130434782609,0.5510204081632653,51,38,0.385,0.06,763.0,523.5,0.62,0.38
468,2014,Sharjah,2014-04-24,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,2,0,CA Lynn,Sharjah Cricket Stadium,Aleem Dar,VA Kulkarni,,610,577,547,516,0.5,0.5555555555555556,42,49,0.418,-0.428,742.0,601.0,0.5,0.5
469,2014,,2014-04-25,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,4,0,AJ Finch,Dubai International Cricket Stadium,M Erasmus,S Ravi,,573,610,483,475,0.14285714285714285,0.44680851063829785,55,44,-0.39899999999999997,-1.182,632.0,601.0,1.0,0.0
470,2014,,2014-04-25,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Chennai Super Kings,0,7,MM Sharma,Dubai International Cricket Stadium,BF Bowden,M Erasmus,,564,651,794,695,0.5769230769230769,0.6739130434782609,31,51,0.095,0.385,540.0,763.0,0.6,0.4
471,2014,Abu Dhabi,2014-04-26,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,6,PV Tambe,Sheikh Zayed Stadium,HDPK Dharmasena,C Shamshuddin,,577,687,516,830,0.5555555555555556,0.5510204081632653,22,36,-0.428,0.06,601.0,523.5,0.55,0.45
472,2014,Abu Dhabi,2014-04-26,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kings XI Punjab,23,0,Sandeep Sharma,Sheikh Zayed Stadium,HDPK Dharmasena,RK Illingworth,,779,610,644,547,0.4545454545454545,0.5,51,24,0.968,0.418,693.0,742.0,0.45,0.55
473,2014,Sharjah,2014-04-27,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,0,Delhi Daredevils,0,6,M Vijay,Sharjah Cricket Stadium,Aleem Dar,VA Kulkarni,,564,610,794,475,0.5769230769230769,0.44680851063829785,37,31,0.095,-1.182,540.0,601.0,0.5,0.5
474,2014,Sharjah,2014-04-27,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,normal,0,Chennai Super Kings,0,5,DR Smith,Sharjah Cricket Stadium,AK Chaudhary,VA Kulkarni,,573,651,483,695,0.14285714285714285,0.6739130434782609,37,47,-0.39899999999999997,0.385,632.0,763.0,0.0,1.0
475,2014,,2014-04-28,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,5,Sandeep Sharma,Dubai International Cricket Stadium,BF Bowden,S Ravi,,577,779,516,644,0.5555555555555556,0.4545454545454545,44,33,-0.428,0.968,601.0,693.0,0.42,0.58
476,2014,Abu Dhabi,2014-04-29,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,tie,0,Rajasthan Royals,0,0,JP Faulkner,Sheikh Zayed Stadium,Aleem Dar,AK Chaudhary,,687,610,830,547,0.5510204081632653,0.5,45,33,0.06,0.418,523.5,742.0,0.5,0.5
477,2014,,2014-04-30,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,0,Sunrisers Hyderabad,15,0,B Kumar,Dubai International Cricket Stadium,HDPK Dharmasena,M Erasmus,,573,564,483,794,0.14285714285714285,0.5769230769230769,44,32,-0.39899999999999997,0.095,632.0,540.0,0.5,0.5
478,2014,Ranchi,2014-05-02,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Chennai Super Kings,34,0,RA Jadeja,JSCA International Stadium Complex,AK Chaudhary,NJ Llong,,651,610,695,547,0.6739130434782609,0.5,43,39,0.385,0.418,763.0,742.0,0.67,0.33
479,2014,Mumbai,2014-05-03,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,normal,0,Mumbai Indians,0,5,CJ Anderson,Wankhede Stadium,BNJ Oxenford,C Shamshuddin,,779,564,644,794,0.4545454545454545,0.5769230769230769,36,49,0.968,0.095,693.0,540.0,0.58,0.42
